person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
339988,9977487,misdemeanor,property,2013-11-22,5998375,56.57534246575342,M,,2017-03-17,0,0,1
336042,2171437,misdemeanor,property,2019-02-25,5170311,55.30684931506849,M,White,2017-09-15,1,0,0
84027,7637306,misdemeanor,property,2015-12-19,2680535,39.26849315068493,M,Black,2018-11-18,0,0,0
26596,8310347,misdemeanor,property,2015-05-27,7370720,46.40547945205479,M,mixed,2016-03-09,0,0,0
33633,4374570,misdemeanor,property,2018-02-07,6995174,18.2986301369863,M,mixed,2016-06-01,1,0,0
3223578,4461595,misdemeanor,property,2018-01-23,7003161,41.298630136986304,F,Asian,2016-05-30,0,0,0
847667,1805244,misdemeanor,other,2019-04-30,5564259,32.27945205479452,F,Black,2017-07-03,0,0,0
57529,8055774,felony,other,2015-08-15,7224958,25.564383561643837,M,Black,2016-04-17,1,1,3
961194,3673007,misdemeanor,property,2018-05-31,3394043,55.55068493150685,M,Black,2018-07-20,0,0,0
1060589,8166911,misdemeanor,other,2015-07-13,4941565,28.134246575342463,M,Black,2017-10-27,0,0,1
92636,7200723,misdemeanor,property,2016-04-23,5155920,56.054794520547944,M,Black,2017-09-19,0,0,0
51883,6320789,misdemeanor,violent,2016-12-19,5828497,25.980821917808218,M,mixed,2017-04-30,0,0,0
908756,6577615,misdemeanor,violent,2016-10-01,7027943,35.915068493150685,M,Black,2016-05-21,0,0,0
14260,2565182,misdemeanor,other,2018-12-10,12005344,19.30958904109589,M,,2018-01-15,0,0,0
1127005,3086892,misdemeanor,other,2018-09-03,3052452,52.342465753424655,M,White,2018-09-08,0,0,0
56946,1531303,misdemeanor,property,2019-05-30,5140950,38.20273972602739,M,Black,2017-09-21,0,0,1
1059734,6867143,misdemeanor,property,2016-07-08,6984750,27.78904109589041,F,Black,2016-06-04,1,0,1
6614,5647828,misdemeanor,property,2017-06-13,5913001,25.3972602739726,M,White,2017-04-09,0,0,0
82604,2463114,felony,drug,2018-12-31,2576292,34.865753424657534,M,Black,2018-12-07,1,1,1
63935,4490225,misdemeanor,property,2018-01-18,7021379,29.64109589041096,F,White,2016-05-24,1,0,4
206826,10194004,misdemeanor,other,2013-09-08,6892253,37.24109589041096,M,Black,2016-07-03,0,0,0
85929,800846,misdemeanor,property,2019-10-18,5226476,35.0,M,Black,2017-09-08,0,0,0
92636,1409478,misdemeanor,property,2019-06-24,5155920,56.054794520547944,M,Black,2017-09-19,0,0,0
1352518,3396602,felony,property,2018-07-20,3396602,23.51232876712329,M,Other,2018-07-20,0,1,0
172713,4874761,misdemeanor,drug,2017-11-04,4874761,24.205479452054796,M,Black,2017-11-04,0,0,1
56452,6554654,felony,property,2016-10-09,6237431,56.37808219178082,M,Black,2017-01-13,0,1,1
53858,6792133,misdemeanor,drug,2016-08-01,6792133,29.106849315068494,M,mixed,2016-08-01,0,0,0
210420,6496625,misdemeanor,other,2016-10-26,6496625,21.895890410958906,F,Black,2016-10-26,0,0,0
